crop ,treatment,plot,row,nitrogen,days_after_sowing,rep1,rep2,rep3
Wheat,Shading,1,1,N_50,68,37.10,35.80,39.30
Wheat,Shading,1,2,N_50,68,45.90,47.30,44.60
Wheat,Shading,1,3,N_200,68,44.90,48.30,48.80
Wheat,Shading,1,4,N_100,68,42.30,44.60,49.00
Wheat,Shading,1,5,N_100,68,49.20,42.60,46.10
Wheat,Shading,4,1,N_50,68,44.70,44.30,50.50
Wheat,Shading,4,2,N_50,68,44.20,47.00,50.00
Wheat,Shading,4,3,N_200,68,47.10,45.00,50.40
Wheat,Shading,4,4,N_100,68,46.10,48.30,45.40
Wheat,Shading,4,5,N_100,68,44.30,46.40,43.90
Wheat,Shading,9,1,N_50,68,50.20,45.20,47.50
Wheat,Shading,9,2,N_50,68,51.80,45.20,48.80
Wheat,Shading,9,4,N_100,68,37.00,44.90,45.90
Wheat,Shading,9,5,N_100,68,50.00,42.70,47.90
Wheat,Shading,10,1,N_50,68,49.30,49.30,51.40
Wheat,Shading,10,2,N_50,68,46.90,40.40,45.40
Wheat,Shading,10,3,N_200,68,48.90,43.60,48.40
Wheat,Shading,10,4,N_100,68,50.60,43.70,45.10
Wheat,Shading,10,5,N_100,68,50.40,52.60,48.40
Wheat,Non_shading,15,3,N_200,68,53.10,52.10,58.90
Wheat,Non_shading,17,3,N_200,68,56.50,49.70,49.80
Wheat,Non_shading,19,3,N_200,68,42.10,51.10,51.10
Wheat,Non_shading,22,3,N_200,68,50.20,48.40,48.50
Wheat,Shading,1,1,N_50,75,40.40,36.50,45.50
Wheat,Shading,1,2,N_50,75,48.40,46.90,44.90
Wheat,Shading,1,3,N_200,75,46.60,46.60,50.00
Wheat,Shading,1,4,N_100,75,47.60,47.40,47.50
Wheat,Shading,1,5,N_100,75,47.40,45.80,48.90
Wheat,Shading,4,1,N_50,75,47.20,47.30,53.00
Wheat,Shading,4,2,N_50,75,52.00,50.40,49.00
Wheat,Shading,4,3,N_200,75,43.20,49.80,48.00
Wheat,Shading,4,4,N_100,75,50.70,48.70,46.50
Wheat,Shading,4,5,N_100,75,43.70,48.20,45.30
Wheat,Shading,9,1,N_50,75,51.70,48.30,52.60
Wheat,Shading,9,2,N_50,75,46.00,51.90,51.90
Wheat,Shading,9,3,N_200,75,45.50,49.20,47.60
Wheat,Shading,9,4,N_100,75,40.30,46.60,44.60
Wheat,Shading,9,5,N_100,75,46.50,46.40,49.30
Wheat,Shading,10,1,N_50,75,53.70,47.40,47.00
Wheat,Shading,10,2,N_50,75,50.30,47.50,44.80
Wheat,Shading,10,3,N_200,75,50.60,47.80,48.40
Wheat,Shading,10,4,N_100,75,50.60,46.20,49.70
Wheat,Shading,10,5,N_100,75,50.30,49.50,47.80
Wheat,Non_shading,15,3,N_200,75,50.00,54.80,59.80
Wheat,Non_shading,17,3,N_200,75,52.70,49.40,54.50
Wheat,Non_shading,19,3,N_200,75,49.20,51.60,56.90
Wheat,Non_shading,22,3,N_200,75,56.30,50.90,48.50
Wheat,Shading,1,1,N_50,82,45.10,39.30,40.30
Wheat,Shading,1,2,N_50,82,46.80,47.10,47.90
Wheat,Shading,1,3,N_200,82,45.70,44.80,47.70
Wheat,Shading,1,4,N_100,82,48.40,43.20,50.10
Wheat,Shading,1,5,N_100,82,49.10,45.40,50.10
Wheat,Shading,4,1,N_50,82,51.70,49.40,53.40
Wheat,Shading,4,2,N_50,82,48.50,46.00,53.00
Wheat,Shading,4,3,N_200,82,50.40,50.90,50.70
Wheat,Shading,4,4,N_100,82,52.20,48.70,49.60
Wheat,Shading,4,5,N_100,82,40.80,49.00,47.70
Wheat,Shading,9,1,N_50,82,56.00,51.30,55.50
Wheat,Shading,9,2,N_50,82,52.00,44.70,56.00
Wheat,Shading,9,3,N_200,82,48.30,47.10,49.20
Wheat,Shading,9,4,N_100,82,42.70,49.30,47.10
Wheat,Shading,9,5,N_100,82,50.00,48.30,55.30
Wheat,Shading,10,1,N_50,82,52.00,48.10,53.70
Wheat,Shading,10,2,N_50,82,52.00,49.80,45.90
Wheat,Shading,10,3,N_200,82,49.10,46.00,51.10
Wheat,Shading,10,4,N_100,82,55.20,45.80,47.80
Wheat,Shading,10,5,N_100,82,51.70,52.10,54.80
Wheat,Non_shading,15,3,N_200,82,57.60,58.70,60.50
Wheat,Non_shading,17,3,N_200,82,55.00,56.00,56.50
Wheat,Non_shading,19,3,N_200,82,50.20,50.30,60.40
Wheat,Non_shading,22,3,N_200,82,54.50,61.60,51.60
Wheat,Shading,1,1,N_50,96,44.20,36.70,45.00
Wheat,Shading,1,2,N_50,96,50.60,51.10,48.10
Wheat,Shading,1,3,N_200,96,50.20,51.20,55.30
Wheat,Shading,1,4,N_100,96,52.70,51.50,55.40
Wheat,Shading,1,5,N_100,96,48.20,50.10,52.40
Wheat,Shading,4,1,N_50,96,54.70,49.70,55.10
Wheat,Shading,4,2,N_50,96,53.60,48.20,52.30
Wheat,Shading,4,3,N_200,96,49.00,50.70,52.00
Wheat,Shading,4,4,N_100,96,59.20,48.00,51.20
Wheat,Shading,4,5,N_100,96,44.30,50.40,49.20
Wheat,Shading,9,1,N_50,96,54.90,54.20,58.70
Wheat,Shading,9,2,N_50,96,49.70,46.00,54.70
Wheat,Shading,9,3,N_200,96,46.20,51.60,52.90
Wheat,Shading,9,4,N_100,96,40.50,51.00,47.70
Wheat,Shading,9,5,N_100,96,49.10,51.70,50.50
Wheat,Shading,10,1,N_50,96,55.60,49.30,51.70
Wheat,Shading,10,2,N_50,96,54.80,45.90,49.10
Wheat,Shading,10,3,N_200,96,50.90,52.90,49.00
Wheat,Shading,10,4,N_100,96,58.60,50.90,49.80
Wheat,Shading,10,5,N_100,96,53.80,53.60,53.70
Wheat,Non_shading,15,3,N_200,96,67.70,67.10,62.60
Wheat,Non_shading,17,3,N_200,96,60.10,58.80,59.20
Wheat,Non_shading,19,3,N_200,96,59.80,59.90,62.50
Wheat,Non_shading,22,3,N_200,96,61.40,63.90,58.30
Wheat,Shading,1,1,N_50,103,45.00,38.90,45.70
Wheat,Shading,1,2,N_50,103,52.30,50.50,50.00
Wheat,Shading,1,3,N_200,103,48.70,49.40,51.40
Wheat,Shading,1,4,N_100,103,56.20,51.50,52.30
Wheat,Shading,1,5,N_100,103,50.40,51.40,52.00
Wheat,Shading,4,1,N_50,103,49.60,49.50,48.00
Wheat,Shading,4,2,N_50,103,54.60,51.30,52.70
Wheat,Shading,4,3,N_200,103,46.80,49.20,55.70
Wheat,Shading,4,4,N_100,103,61.50,53.70,52.50
Wheat,Shading,4,5,N_100,103,44.10,45.50,46.90
Wheat,Shading,9,1,N_50,103,55.90,56.60,56.80
Wheat,Shading,9,2,N_50,103,48.80,43.70,56.00
Wheat,Shading,9,3,N_200,103,45.90,51.20,49.60
Wheat,Shading,9,4,N_100,103,40.60,53.70,49.00
Wheat,Shading,9,5,N_100,103,50.90,50.50,50.70
Wheat,Shading,10,1,N_50,103,57.30,48.50,51.80
Wheat,Shading,10,2,N_50,103,56.80,50.10,48.60
Wheat,Shading,10,3,N_200,103,48.60,54.10,48.60
Wheat,Shading,10,4,N_100,103,56.40,52.80,55.80
Wheat,Shading,10,5,N_100,103,58.90,51.00,55.40
Wheat,Non_shading,15,3,N_200,103,65.80,61.10,64.00
Wheat,Non_shading,17,3,N_200,103,63.00,65.00,64.30
Wheat,Non_shading,19,3,N_200,103,62.70,54.90,60.70
Wheat,Non_shading,22,3,N_200,103,59.10,65.20,60.20
Wheat,Shading,1,1,N_50,110,45.90,38.50,43.80
Wheat,Shading,1,2,N_50,110,51.90,47.30,48.80
Wheat,Shading,1,3,N_200,110,48.70,49.40,53.70
Wheat,Shading,1,4,N_100,110,52.50,49.90,53.10
Wheat,Shading,1,5,N_100,110,48.50,51.10,52.80
Wheat,Shading,4,1,N_50,110,53.60,46.80,59.00
Wheat,Shading,4,2,N_50,110,53.70,49.70,51.00
Wheat,Shading,4,3,N_200,110,50.80,54.40,46.40
Wheat,Shading,4,4,N_100,110,60.20,51.90,49.20
Wheat,Shading,4,5,N_100,110,44.10,47.80,50.00
Wheat,Shading,9,1,N_50,110,56.10,61.00,55.40
Wheat,Shading,9,2,N_50,110,46.00,43.70,51.70
Wheat,Shading,9,3,N_200,110,49.10,48.20,50.20
Wheat,Shading,9,4,N_100,110,41.30,53.30,48.10
Wheat,Shading,9,5,N_100,110,55.20,48.10,50.60
Wheat,Shading,10,1,N_50,110,56.10,51.90,48.90
Wheat,Shading,10,2,N_50,110,55.40,45.20,47.40
Wheat,Shading,10,3,N_200,110,47.30,52.50,45.90
Wheat,Shading,10,4,N_100,110,55.60,48.00,56.00
Wheat,Shading,10,5,N_100,110,55.30,51.40,57.50
Wheat,Non_shading,15,3,N_200,110,57.30,64.10,66.50
Wheat,Non_shading,17,3,N_200,110,62.10,63.40,65.90
Wheat,Non_shading,19,3,N_200,110,59.10,55.70,60.10
Wheat,Non_shading,22,3,N_200,110,58.10,69.00,61.20
Wheat,Shading,1,1,N_50,124,37.10,34.10,37.40
Wheat,Shading,1,2,N_50,124,42.40,44.70,43.40
Wheat,Shading,1,3,N_200,124,38.20,42.00,46.30
