grain_area,grain_weight
15.57,43.40
17.14,49.70
16.24,45.20
7.85,11.00
14.32,36.40
10.93,25.60
18.69,55.60
10.81,24.50
16.90,49.90
13.79,42.20
16.69,44.50
14.61,39.40
10.65,26.50
16.97,50.70
14.96,45.00
17.77,47.90
14.65,32.10
16.09,42.60
18.71,51.10
19.01,51.80
12.39,27.10
19.94,54.90
15.57,38.60
10.55,23.70
17.46,44.20
15.40,39.80
20.18,58.30
18.83,53.20
19.34,52.70
8.65,18.80
9.70,17.90
19.27,53.60
15.67,38.10
14.54,36.10
11.43,23.30
15.89,40.80
19.26,57.30
16.57,46.70
16.76,41.90
12.38,25.70
21.53,60.20
20.46,59.80
19.79,55.00
18.13,48.70
16.38,46.30
16.46,46.60
17.38,45.60
10.62,23.80
15.86,42.40
18.73,51.80
18.96,53.10
12.01,29.60
16.72,44.70
16.02,47.70
15.56,45.40
16.83,48.90
7.56,10.50
19.21,52.90
18.20,48.20
19.14,53.20
18.83,53.20
19.12,55.00
19.19,56.40
9.07,17.80
12.71,27.10
14.77,41.80
20.53,60.00
15.63,38.80
17.32,48.90
10.95,24.50
11.26,19.50
17.49,50.80
19.09,53.30
17.64,43.60
16.95,46.30
21.86,61.70
17.11,46.70
20.33,55.40
17.65,42.80
14.33,36.80
19.10,56.20
12.82,26.30
7.36,9.40
16.47,46.00
15.98,40.60
12.90,28.00
16.02,50.60
19.99,58.90
13.46,31.70
18.80,55.10
12.47,28.30
20.78,60.80
19.88,58.80
9.79,19.50
15.49,40.80
15.22,45.20
19.38,55.30
10.74,24.90
17.80,49.00
17.61,50.00
12.86,29.70
12.47,32.30
16.56,42.60
19.91,54.20
19.00,52.90
22.57,64.30
19.95,53.60
16.55,34.10
10.78,18.10
22.17,66.70
19.58,57.20
14.84,37.10
20.57,58.10
22.10,67.20
18.09,53.50
20.41,63.00
16.08,42.10
14.59,34.90
22.51,71.30
11.54,23.00
16.70,42.30
15.99,40.25
16.50,43.60
17.19,48.10
19.26,54.37
20.28,59.00
20.82,60.50
14.80,37.30
19.90,55.20
21.60,59.90
18.40,50.25
21.18,59.50
22.07,63.90
23.97,67.37
23.39,66.93
21.86,65.80
