genotype,thinning,area,tolerance
cv1,control,7.56,0
cv1,control,7.25,0
cv1,control,7.99,0
cv1,control,5.86,0
cv1,control,8.04,0
cv1,control,21.38,0
cv1,control,13.12,0
cv1,control,18.13,0
cv1,control,14.6,0
cv1,control,17.51,0
cv1,control,20.67,0
cv1,control,20.95,0
cv1,control,20.44,0
cv1,control,16.59,0
cv1,control,17.06,0
cv1,control,16.64,0
cv1,control,12.74,0
cv1,control,19.37,0
cv1,control,19.27,0
cv1,control,20.68,0
cv1,control,20.17,0
cv1,control,18.7,1
cv1,control,17.96,0
cv1,control,16.22,0
cv1,control,20.43,0
cv1,control,17.49,0
cv1,control,19.94,0
cv1,control,18.6,0
cv1,control,20.39,0
cv1,control,11.02,0
cv1,control,19.65,0
cv1,control,14.04,0
cv1,control,18.97,0
cv1,control,15.74,0
cv1,control,21.67,0
cv1,control,16.71,0
cv1,control,18.18,0
cv1,control,17.28,0
cv1,control,15.8,1
cv1,control,14.25,1
cv1,control,17.18,1
cv1,control,20.49,1
cv1,control,22.46,0
cv1,control,19.57,0
cv1,control,17.13,0
cv1,control,20.42,0
cv1,control,16.58,1
cv1,control,16.64,1
cv1,control,8.95,1
cv1,control,15.33,1
cv1,control,17.45,1
cv1,control,14.48,1
cv1,control,20.28,1
cv1,control,18.11,0
cv1,control,16.74,0
cv1,control,17.12,0
cv1,control,21.12,0
cv1,control,18.23,0
cv1,control,15.48,1
cv1,control,21.74,1
cv1,control,20.65,1
cv1,control,21.56,1
cv1,control,16.06,1
cv1,control,16.89,1
cv1,control,19.98,1
cv1,control,18.39,1
cv1,control,17.72,1
cv1,control,16.46,1
cv1,control,17.81,1
cv1,control,14.79,1
cv1,control,21.09,1
cv1,control,19.96,1
cv1,control,12.27,1
cv1,control,19.98,1
cv1,control,20.34,1
cv1,control,19.48,1
cv1,control,15.41,1
cv1,control,14.65,1
cv1,control,16.36,0
cv1,control,19.67,0
cv1,control,16.91,0
cv1,control,18.65,0
cv1,control,16.41,0
cv1,control,18.37,0
cv1,control,15.72,0
cv1,control,17.23,0
cv1,control,19.19,0
cv1,control,19.73,0
cv1,control,18.74,0
cv1,control,22.9,1
cv1,control,17.85,1
cv1,control,17.58,1
cv1,control,15.7,1
cv1,control,10.12,1
cv1,control,17.24,1
cv1,control,17.69,1
cv1,control,19.11,1
cv1,control,8.03,1
cv1,control,10.86,1
cv1,control,12.34,1
cv1,control,21.59,1
cv1,control,12.63,1
cv1,control,19.73,1
cv1,control,18.44,1
cv1,control,14.71,0
cv1,control,20.12,1
cv1,control,18.85,1
cv1,control,14.77,0
cv1,control,15.93,1
cv1,control,17.2,1
cv1,control,18.91,1
cv1,control,15.8,1
cv1,control,15.59,1
cv1,control,10.84,0
cv1,control,14.44,1
cv1,control,14.14,1
cv1,control,12.11,1
cv1,control,14.66,0
cv1,control,14.46,0
cv1,control,15.26,1
cv1,control,18.45,1
cv1,control,16.94,0
cv1,control,14.97,0
cv1,control,11.64,0
cv1,control,16.27,0
cv1,control,16.44,0
cv1,control,15.56,0
cv1,control,18.12,0
cv1,control,18.78,0
cv1,control,15.82,0
cv1,control,15.57,0
cv1,control,19.93,0
cv1,control,13.87,0
cv1,control,19.3,0
cv1,control,15.04,1
cv1,control,19.28,1
cv1,control,18.77,1
cv1,control,20.09,1
cv1,control,18.92,1
cv1,control,17.58,0
cv1,control,16.58,1
cv1,control,21.81,1
cv1,control,13.09,1
cv1,control,21.2,1
cv1,control,19.62,1
cv1,control,21.31,1
cv1,control,16.83,1
cv1,control,16.62,1
cv1,control,11.19,0
cv1,control,17.53,0
cv1,control,16.21,1
cv1,control,19.86,1
cv1,control,16.1,1
cv1,control,21.23,1
cv1,control,19.51,1
cv1,control,18.73,1
cv1,control,16.97,1
cv1,control,20.09,1
cv1,control,14.31,1
cv1,control,20.25,1
cv1,control,19.94,1
cv1,control,20.91,1
cv1,control,16.85,1
cv1,control,20.45,1
cv1,control,17.06,1
cv1,control,19.59,1
cv1,control,16.37,1
cv1,control,19.75,1
cv1,control,20.14,1
cv1,control,18.74,1
cv1,control,10.45,0
cv1,control,16.1,1
cv1,control,16.19,0
cv1,control,15.6,0
cv1,control,15.48,0
cv1,control,13.72,1
cv1,control,20.27,1
cv1,control,15.38,0
cv1,control,20.64,1
cv1,control,18.65,1
cv1,control,18.25,1
cv1,control,13.05,1
cv1,control,14.55,1
cv1,control,20.79,1
cv1,control,18.03,1
cv1,control,16.9,1
cv1,control,19.64,1
cv1,control,18.23,1
cv1,control,16.05,1
cv1,control,10.36,0
cv1,control,18.33,1
cv1,control,12.73,1
cv1,control,19.16,1
cv1,control,19.94,1
cv1,control,19.03,1
cv1,control,18.04,1
cv1,control,15.9,1
cv1,control,14.29,1
cv1,control,16.47,1
cv1,control,17.85,1
cv1,control,17.8,1
cv1,control,11.81,1
cv1,control,15.91,1
cv1,control,18.26,1
cv1,control,12.89,0
cv1,control,13.03,1
cv1,control,21.25,1
cv1,control,10.96,0
cv1,control,20.65,1
cv1,control,17.26,1
cv1,control,18.19,1
cv1,control,20.66,1
cv1,control,21.95,1
cv1,control,18.05,1
cv1,control,18.04,1
cv1,control,16.25,1
cv1,control,12.62,0
cv1,control,20.12,1
cv1,control,16.83,1
cv1,control,18.28,1
cv1,control,12.24,0
cv1,control,18.39,1
cv1,control,20.98,1
cv1,control,16.1,1
cv1,control,19.63,1
cv1,control,14.82,1
cv1,control,15.15,1
cv1,control,14.08,1
cv1,control,15.54,1
cv1,control,17.41,0
cv1,control,18.08,1
cv1,control,17.97,1
cv1,control,19.91,1
cv1,control,17.13,1
cv1,control,21.39,1
cv1,control,17.7,0
cv1,control,17.91,0
cv1,control,16.25,1
cv1,control,18.96,1
cv1,control,16.98,1
cv1,control,18.1,1
cv1,control,17.49,1
cv1,control,17.19,1
cv1,control,20.34,1
cv1,control,19.91,1
cv1,control,14.6,0
cv1,control,13.89,1
cv1,control,18.05,1
cv1,control,14.97,1
cv1,control,20.62,1
cv1,control,21.06,1
cv1,control,14.78,0
cv1,control,21.74,1
cv1,control,19.82,1
cv1,control,13.27,1
cv1,control,18.5,1
cv1,control,18.3,1
cv1,control,16.57,0
cv1,control,16.12,0
cv1,control,19.93,1
cv1,control,17.71,1
cv1,control,14.8,1
cv1,control,22.51,1
cv1,control,20.77,1
cv1,control,12.69,1
cv1,control,19.15,1
cv1,control,18.64,1
cv1,control,16.01,1
cv1,control,16.95,1
cv1,control,17.1,1
cv1,control,15.41,0
cv1,control,11.85,0
cv1,control,16.08,1
cv1,control,12.2,0
cv1,control,16.48,1
cv1,control,19.29,1
cv1,control,19.19,1
cv1,control,16.94,0
cv1,control,19.31,1
cv1,control,17.29,1
cv1,control,16.83,1
cv1,control,21.13,1
cv1,control,15.3,1
cv1,control,17.61,1
cv1,control,13.31,0
cv1,control,14.19,1
cv1,control,19.36,1
cv1,control,16.74,1
cv1,control,17.95,1
cv1,control,17.09,0
cv1,control,18.42,1
cv1,control,18.96,0
cv1,control,18.92,1
cv1,control,17.33,1
cv1,control,19.28,1
cv1,control,16.25,1
cv1,control,23.49,1
cv1,control,19.19,1
cv1,control,14.85,1
cv1,control,14.32,1
cv1,control,16.79,1
cv1,control,19.44,1
cv1,control,16.02,1
cv1,control,18.53,1
cv1,control,15.81,1
cv1,control,23.34,1
cv1,control,19.89,1
cv1,control,17.86,1
cv1,control,16.73,1
cv1,control,14.25,0
cv1,control,16.42,1
cv1,control,17.17,1
cv1,control,17.52,1
cv1,control,16.96,1
cv1,control,16.77,0
cv1,control,19.85,1
cv1,control,15.37,1
cv1,control,16.45,1
cv1,control,18.28,1
cv1,control,20.87,1
cv1,control,20.87,1
cv1,control,18.41,1
cv1,control,10.52,0
cv1,control,13.63,1
cv1,control,21.41,1
cv1,control,20.89,1
cv1,control,20.88,1
cv1,control,10.44,0
cv1,control,20.5,1
cv1,control,17.54,1
cv1,control,19.14,1
cv1,control,20.09,1
cv1,control,20.87,1
cv1,control,20.85,1
cv1,control,15.21,1
cv1,control,14.45,0
cv1,control,20.96,1
cv1,control,14.88,1
cv1,control,18.99,1
cv1,control,15.72,1
cv1,control,19.28,1
