Domain Code,Domain,Area Code (M49),area,location,element,item,year,year_count,decade,Trend,Yield
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1961,1,1ST,1STWorld,1.022
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1962,2,1ST,1STWorld,0.9735
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1963,3,1ST,1STWorld,0.8317
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1964,4,1ST,1STWorld,0.951
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1965,5,1ST,1STWorld,0.9723
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1966,6,1ST,1STWorld,0.8666
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1967,7,1ST,1STWorld,1.1232
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1968,8,1ST,1STWorld,1.1562
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1969,9,1ST,1STWorld,1.1855
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1970,10,1ST,1STWorld,0.9563
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1971,11,1ST,1STWorld,0.8149
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1972,12,1ST,1STWorld,0.8457
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1973,13,1ST,1STWorld,1.1739
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1974,14,1ST,1STWorld,1.2074
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1975,15,1ST,1STWorld,1.2128
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1976,16,1ST,1STWorld,1.2494
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1977,17,1ST,1STWorld,1.1309
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1978,18,1ST,1STWorld,1.198
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1979,19,1ST,1STWorld,1.2317
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1980,20,1ST,1STWorld,1.2549
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1981,21,2ND,2NDWorld,1.235
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1982,22,2ND,2NDWorld,1.2299
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1983,23,2ND,2NDWorld,1.258
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1984,24,2ND,2NDWorld,1.2319
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1985,25,2ND,2NDWorld,1.2277
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1986,26,2ND,2NDWorld,1.189
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1987,27,2ND,2NDWorld,1.2849
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1988,28,2ND,2NDWorld,1.1728
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1989,29,2ND,2NDWorld,1.118
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1990,30,2ND,2NDWorld,1.051
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1991,31,2ND,2NDWorld,1.0213
