treatment,block,section,days,yield
N1,I,1,1,456.95
N1,I,2,1,913.9
N1,I,3,1,0
N1,II,1,1,247
N1,II,2,1,716.3
N1,II,3,1,580.45
N1,III,1,1,0
N1,III,2,1,172.9
N1,III,3,1,605.15
N1,IV,1,1,592.8
N1,IV,2,1,0
N1,IV,3,1,1185.6
N1,I,1,1,0
N1,I,2,1,197.6
N1,I,3,1,234.65
N1,II,1,1,0
N1,II,2,1,172.9
N1,II,3,1,98.8
N1,III,1,1,296.4
N1,III,2,1,345.8
N1,III,3,1,148.2
N1,IV,1,1,98.8
N1,IV,2,1,74.1
N1,IV,3,1,666.9
N0,I,1,1,0
N0,I,2,1,0
N0,I,3,1,0
N0,II,1,1,0
N0,II,2,1,0
N0,II,3,1,0
N0,III,1,1,0
N0,III,2,1,0
N0,III,3,1,0
N0,IV,1,1,0
N0,IV,2,1,0
N0,IV,3,1,0
N0,I,1,1,0
N0,I,2,1,0
N0,I,3,1,0
N0,II,1,1,0
N0,II,2,1,0
N0,II,3,1,0
N0,III,1,1,0
N0,III,2,1,0
N0,III,3,1,0
N0,IV,1,1,0
N0,IV,2,1,0
N0,IV,3,1,0
N1,I,1,3,259.35
N1,I,2,3,629.85
N1,I,3,3,938.6
N1,II,1,3,247
N1,II,2,3,864.5
N1,II,3,3,0
N1,III,1,3,123.5
N1,III,2,3,172.9
N1,III,3,3,0
N1,IV,1,3,185.25
N1,IV,2,3,0
N1,IV,3,3,432.25
N1,I,1,3,0
N1,I,2,3,0
N1,I,3,3,43.225
N1,II,1,3,0
N1,II,2,3,0
N1,II,3,3,86.45
N1,III,1,3,284.05
N1,III,2,3,12.35
N1,III,3,3,0
N1,IV,1,3,222.3
N1,IV,2,3,0
N1,IV,3,3,0
N0,I,1,3,0
N0,I,2,3,0
N0,I,3,3,0
N0,II,1,3,0
N0,II,2,3,0
N0,II,3,3,0
N0,III,1,3,0
N0,III,2,3,135.85
N0,III,3,3,197.6
N0,IV,1,3,0
N0,IV,2,3,296.4
N0,IV,3,3,0
N0,I,1,3,0
N0,I,2,3,0
N0,I,3,3,0
N0,II,1,3,0
N0,II,2,3,0
N0,II,3,3,0
N0,III,1,3,0
N0,III,2,3,123.5
N0,III,3,3,0
N0,IV,1,3,0
N0,IV,2,3,0
N0,IV,3,3,0
N1,I,1,7,209.95
N1,I,2,7,0
N1,I,3,7,0
N1,II,1,7,0
N1,II,2,7,0
N1,II,3,7,0
N1,III,1,7,0
N1,III,2,7,0
N1,III,3,7,0
N1,IV,1,7,0
N1,IV,2,7,0
N1,IV,3,7,0
N1,I,1,7,0
N1,I,2,7,0
N1,I,3,7,0
N1,II,1,7,0
N1,II,2,7,0
N1,II,3,7,0
N1,III,1,7,0
N1,III,2,7,0
N1,III,3,7,0
N1,IV,1,7,0
N1,IV,2,7,0
N1,IV,3,7,0
N0,I,1,7,0
N0,I,2,7,1679.6
N0,I,3,7,0
N0,II,1,7,1210.3
N0,II,2,7,0
N0,II,3,7,0
N0,III,1,7,419.9
N0,III,2,7,691.6
N0,III,3,7,321.1
N0,IV,1,7,0
N0,IV,2,7,284.05
N0,IV,3,7,0
N0,I,1,7,0
N0,I,2,7,0
N0,I,3,7,0
