Date,Treatment,Block,Fruit_No,Yield
6/17/2022,Shading,I,3,15.0
6/17/2022,Shading,II,1,11.0
6/17/2022,Shading,III,3,7.1
6/17/2022,Shading,IV,2,16.5
6/17/2022,Control,I,5,8.8
6/17/2022,Control,II,5,2.8
6/17/2022,Control,III,3,7.3
6/17/2022,Control,IV,3,4.1
6/20/2022,Shading,I,3,13.7
6/20/2022,Shading,II,2,7.3
6/20/2022,Shading,III,1,9.3
6/20/2022,Shading,IV,1,9.8
6/20/2022,Control,I,4,12.5
6/20/2022,Control,II,4,8.2
6/20/2022,Control,III,1,13.5
6/20/2022,Control,IV,3,4.8
6/24/2022,Shading,I,2,9.1
6/24/2022,Shading,III,2,6.3
6/24/2022,Shading,IV,2,18.8
6/24/2022,Control,I,3,2.3
6/24/2022,Control,II,4,4.5
6/24/2022,Control,III,1,6.7
6/24/2022,Control,IV,3,2.3
