Genotype,Treatment,Block,Rows,Fruit_No,Yield
CV1,AV,I,1,2,13.00
CV1,AV,I,2,2,20.00
CV1,AV,I,3,4,23.30
CV1,AV,II,1,5,17.60
CV1,AV,II,2,2,17.50
CV1,AV,II,3,1,8.00
CV1,AV,III,1,4,18.80
CV1,AV,III,2,1,5.00
CV1,AV,III,3,3,17.70
CV1,Control,I,1,1,6.00
CV1,Control,I,2,2,3.50
CV1,Control,I,3,6,5.30
CV1,Control,II,1,6,2.00
CV1,Control,II,2,9,0.80
CV1,Control,II,3,2,2.50
CV1,Control,III,1,10,1.00
CV1,Control,III,2,1,7.00
CV1,Control,III,3,3,3.70
CV2,AV,I,1,2,16.50
CV2,AV,I,2,2,13.00
CV2,AV,I,3,4,23.50
CV2,AV,II,1,3,10.70
CV2,AV,II,2,3,11.30
CV2,AV,II,3,1,12.00
CV2,AV,III,1,2,3.00
CV2,AV,III,2,1,18.00
CV2,AV,III,3,3,10.30
CV2,Control,I,1,6,12.00
CV2,Control,I,2,5,4.80
CV2,Control,I,3,2,14.50
CV2,Control,II,1,7,4.00
CV2,Control,II,2,5,3.60
CV2,Control,II,3,4,2.00
CV2,Control,III,1,4,4.00
CV2,Control,III,2,3,3.30
CV2,Control,III,3,2,14.50
CV3,AV,I,1,4,13.30
CV3,AV,I,2,2,17.50
CV3,AV,I,3,4,10.30
CV3,AV,II,1,2,7.50
CV3,AV,II,2,1,7.00
CV3,AV,II,3,1,8.00
CV3,AV,III,1,1,10.00
CV3,AV,III,2,1,10.00
CV3,AV,III,3,1,13.00
CV3,Control,I,1,5,11.20
CV3,Control,I,2,5,4.40
CV3,Control,I,3,1,22.00
CV3,Control,II,1,2,8.00
CV3,Control,II,2,8,8.50
CV3,Control,II,3,1,8.00
CV3,Control,III,1,1,11.00
CV3,Control,III,2,1,16.00
CV3,Control,III,3,2,5.00
