Season,Genotype,Treatment,Block,Plot,Rows,Yield
2018,CV1,AV,I,A101,1,13
2018,CV1,AV,I,A101,2,20
2018,CV1,AV,II,A201,1,17.6
2018,CV1,AV,II,A201,2,17.5
2018,CV1,AV,III,A301,1,18.8
2018,CV1,AV,III,A301,2,5
2018,CV2,AV,I,A102,1,16.5
2018,CV2,AV,I,A102,2,13
2018,CV2,AV,II,A202,1,10.7
2018,CV2,AV,II,A202,2,11.3
2018,CV2,AV,III,A302,1,3
2018,CV2,AV,III,A302,2,18
2018,CV1,Control,I,C101,1,6
2018,CV1,Control,I,C101,2,3.5
2018,CV1,Control,II,C201,1,2
2018,CV1,Control,II,C201,2,0.8
2018,CV1,Control,III,C301,1,1
2018,CV1,Control,III,C301,2,7
2018,CV2,Control,I,C102,1,12
2018,CV2,Control,I,C102,2,4.8
2018,CV2,Control,II,C202,1,4
2018,CV2,Control,II,C202,2,3.6
2018,CV2,Control,III,C302,1,4
2018,CV2,Control,III,C302,2,3.3
2019,CV1,AV,I,A101,1,14
2019,CV1,AV,I,A101,2,18
2019,CV1,AV,II,A201,1,19
2019,CV1,AV,II,A201,2,20
2019,CV1,AV,III,A301,1,20
2019,CV1,AV,III,A301,2,15
2019,CV2,AV,I,A102,1,20
2019,CV2,AV,I,A102,2,15
2019,CV2,AV,II,A202,1,11
2019,CV2,AV,II,A202,2,15
2019,CV2,AV,III,A302,1,5
2019,CV2,AV,III,A302,2,19
2019,CV1,Control,I,C101,1,7
2019,CV1,Control,I,C101,2,10
2019,CV1,Control,II,C201,1,5
2019,CV1,Control,II,C201,2,8
2019,CV1,Control,III,C301,1,8
2019,CV1,Control,III,C301,2,5
2019,CV2,Control,I,C102,1,5
2019,CV2,Control,I,C102,2,9
2019,CV2,Control,II,C202,1,5
2019,CV2,Control,II,C202,2,6
2019,CV2,Control,III,C302,1,5
2019,CV2,Control,III,C302,2,5
