Date,Treatment,Block,Spatial,Fruit_No,Yield
6/6/2001,Control,I,1,2,10.50
6/6/2001,Control,I,2,2,25.50
6/6/2001,Control,I,3,5,15.20
6/6/2001,Control,I,3,1,3.50
6/6/2001,Control,II,1,2,10.00
6/6/2001,Control,II,2,4,17.50
6/6/2001,Control,II,3,2,3.50
6/6/2001,Control,III,1,1,10.00
6/6/2001,Control,III,1,4,5.75
6/6/2001,Control,III,2,1,14.00
6/6/2001,Control,III,2,1,1.00
6/6/2001,Control,IV,1,1,15.00
6/6/2001,Control,IV,1,1,18.00
6/6/2001,Control,IV,3,3,11.67
6/6/2001,AV,III,2,1,11.00
6/6/2001,AV,III,2,1,10.00
6/6/2001,AV,III,3,1,16.00
6/6/2001,AV,IV,2,1,24.00
6/10/2001,Control,I,1,1,17.00
6/10/2001,AV,I,2,3,45.33
6/10/2001,AV,II,1,3,32.67
6/10/2001,AV,III,1,2,17.00
6/10/2001,AV,III,2,3,18.67
6/10/2001,AV,III,3,1,26.00
6/10/2001,AV,IV,2,1,23.00
6/13/2001,Control,I,1,1,6.00
6/13/2001,Control,I,1,2,3.50
6/13/2001,Control,I,2,6,5.33
6/13/2001,Control,I,3,6,2.00
6/13/2001,Control,II,1,9,0.78
6/13/2001,Control,II,2,2,2.50
6/13/2001,Control,IV,1,10,1.00
6/13/2001,AV,I,1,2,13.00
6/13/2001,AV,I,1,2,20.00
6/13/2001,AV,I,2,4,23.25
6/13/2001,AV,I,2,2,21.00
6/13/2001,AV,I,3,5,18.20
6/13/2001,AV,I,3,2,14.00
6/13/2001,AV,II,1,5,17.60
6/13/2001,AV,II,2,2,17.50
6/13/2001,AV,III,1,1,8.00
6/13/2001,AV,III,2,4,18.75
6/13/2001,AV,III,2,1,5.00
6/13/2001,AV,III,3,3,17.67
6/13/2001,AV,IV,1,2,17.50
6/13/2001,AV,IV,2,4,19.75
6/17/2001,Control,I,1,6,12.00
6/17/2001,Control,I,1,5,4.80
6/17/2001,Control,I,2,2,14.50
6/17/2001,Control,I,3,7,4.00
6/17/2001,Control,II,1,5,3.60
6/17/2001,Control,II,2,4,2.00
6/17/2001,Control,III,1,4,4.00
6/17/2001,Control,III,2,3,3.33
6/17/2001,Control,III,3,2,14.50
6/17/2001,Control,IV,1,1,7.00
6/17/2001,Control,IV,1,3,3.67
6/17/2001,Control,IV,3,4,1.50
6/17/2001,AV,I,1,2,16.50
6/17/2001,AV,I,1,2,13.00
6/17/2001,AV,I,2,4,23.50
6/17/2001,AV,I,3,3,10.67
6/17/2001,AV,I,3,3,11.33
6/17/2001,AV,II,1,1,12.00
6/17/2001,AV,II,1,2,3.00
6/17/2001,AV,II,2,1,18.00
6/17/2001,AV,III,1,3,10.33
6/17/2001,AV,III,1,2,6.00
6/17/2001,AV,III,2,2,6.50
6/17/2001,AV,III,2,4,1.25
6/17/2001,AV,III,3,1,13.00
6/17/2001,AV,III,3,3,5.33
6/17/2001,AV,IV,2,2,16.50
6/20/2001,Control,I,1,5,11.20
6/20/2001,Control,I,1,5,4.40
6/20/2001,Control,I,3,1,22.00
6/20/2001,Control,II,2,2,8.00
6/20/2001,Control,II,2,8*,#VALUE!
6/20/2001,Control,II,3,1,8.00
6/20/2001,Control,III,1,1,11.00
6/20/2001,Control,III,3,1,16.00
6/20/2001,Control,IV,1,2,5.00
6/20/2001,Control,IV,1,6,3.67
6/20/2001,Control,IV,2,2,4.50
6/20/2001,Control,IV,3,1,6.00
6/20/2001,AV,I,2,4,13.25
6/20/2001,AV,I,3,2,17.50
6/20/2001,AV,I,3,4,10.25
6/20/2001,AV,II,1,2,7.50
6/20/2001,AV,II,2,1,7.00
6/20/2001,AV,III,1,1,8.00
6/20/2001,AV,III,1,1,10.00
6/20/2001,AV,III,2,1,10.00
6/20/2001,AV,IV,1,1,13.00
6/20/2001,AV,IV,1,2,7.00
6/20/2001,AV,IV,2,1,14.00
6/20/2001,AV,IV,2,1,5.00
6/24/2001,Control,I,3,3,2.33
6/24/2001,Control,II,1,2,3.00
6/24/2001,Control,II,2,9,3.11
6/24/2001,Control,II,3,1,5.00
6/24/2001,Control,II,3,2,7.00
6/24/2001,Control,III,1,1,8.00
6/24/2001,Control,III,3,1,6.00
6/24/2001,Control,III,3,1,6.00
6/24/2001,Control,IV,1,3,2.33
6/24/2001,AV,I,1,1,5.00
6/24/2001,AV,I,1,1,14.00
6/24/2001,AV,I,3,1,11.00
6/24/2001,AV,I,3,4,6.50
6/24/2001,AV,III,2,1,8.00
6/24/2001,AV,III,2,2,4.50
6/24/2001,AV,IV,1,2,17.50
6/24/2001,AV,IV,1,1,20.00
