Genotype,Treatment,Block,Spatial,Fruit_No,Yield
CV1,Control,I,1,2,10.5
CV1,Control,I,2,2,25.5
CV1,Control,I,3,5,15.2
CV1,Control,I,3,1,3.5
CV1,Control,II,1,2,10
CV1,Control,II,2,4,17.5
CV1,Control,II,3,2,3.5
CV1,Control,III,1,1,10
CV1,Control,III,1,4,5.8
CV1,Control,III,2,1,14
CV1,Control,III,2,1,1
CV1,Control,IV,1,1,15
CV1,Control,IV,1,1,18
CV1,Control,IV,3,3,11.7
CV1,AV,III,2,1,11
CV1,AV,III,2,1,10
CV1,AV,III,3,1,16
CV1,AV,IV,2,1,24
CV2,Control,I,1,1,6
CV2,Control,I,1,2,3.5
CV2,Control,I,2,6,5.3
CV2,Control,I,3,6,2
CV2,Control,II,1,9,0.8
CV2,Control,II,2,2,2.5
CV2,Control,IV,1,10,1
CV2,AV,I,1,2,13
CV2,AV,I,1,2,20
CV2,AV,I,2,4,23.3
CV2,AV,I,2,2,21
CV2,AV,I,3,5,18.2
CV2,AV,I,3,2,14
CV2,AV,II,1,5,17.6
CV2,AV,II,2,2,17.5
CV2,AV,III,1,1,8
CV2,AV,III,2,4,18.8
CV2,AV,III,2,1,5
CV2,AV,III,3,3,17.7
CV2,AV,IV,1,2,17.5
CV2,AV,IV,2,4,19.8
CV3,Control,I,1,6,12
CV3,Control,I,1,5,4.8
CV3,Control,I,2,2,14.5
CV3,Control,I,3,7,4
CV3,Control,II,1,5,3.6
CV3,Control,II,2,4,2
CV3,Control,III,1,4,4
CV3,Control,III,2,3,3.3
CV3,Control,III,3,2,14.5
CV3,Control,IV,1,1,7
CV3,Control,IV,1,3,3.7
CV3,Control,IV,3,4,1.5
CV3,AV,I,1,2,16.5
CV3,AV,I,1,2,13
CV3,AV,I,2,4,23.5
CV3,AV,I,3,3,10.7
CV3,AV,I,3,3,11.3
CV3,AV,II,1,1,12
CV3,AV,II,1,2,3
CV3,AV,II,2,1,18
CV3,AV,III,1,3,10.3
CV3,AV,III,1,2,6
CV3,AV,III,2,2,6.5
CV3,AV,III,2,4,1.3
CV3,AV,III,3,1,13
CV3,AV,III,3,3,5.3
CV3,AV,IV,2,2,16.5
CV4,Control,I,1,5,11.2
CV4,Control,I,1,5,4.4
CV4,Control,I,3,1,22
CV4,Control,II,2,2,8
CV4,Control,II,2,8,8.5
CV4,Control,II,3,1,8
CV4,Control,III,1,1,11
CV4,Control,III,3,1,16
CV4,Control,IV,1,2,5
CV4,Control,IV,1,6,3.7
CV4,Control,IV,2,2,4.5
CV4,Control,IV,3,1,6
CV4,AV,I,2,4,13.3
CV4,AV,I,3,2,17.5
CV4,AV,I,3,4,10.3
CV4,AV,II,1,2,7.5
CV4,AV,II,2,1,7
CV4,AV,III,1,1,8
CV4,AV,III,1,1,10
CV4,AV,III,2,1,10
CV4,AV,IV,1,1,13
CV4,AV,IV,1,2,7
CV4,AV,IV,2,1,14
CV4,AV,IV,2,1,5
CV5,Control,I,3,3,2.3
CV5,Control,II,1,2,3
CV5,Control,II,2,9,3.1
CV5,Control,II,3,1,5
CV5,Control,II,3,2,7
CV5,Control,III,1,1,8
CV5,Control,III,3,1,6
CV5,Control,III,3,1,6
CV5,Control,IV,1,3,2.3
CV5,AV,I,1,1,5
CV5,AV,I,1,1,14
CV5,AV,I,3,1,11
CV5,AV,I,3,4,6.5
CV5,AV,III,2,1,8
CV5,AV,III,2,2,4.5
CV5,AV,IV,1,2,17.5
CV5,AV,IV,1,1,20
